Pulse,Freq,Inductance,1/L,Load
7478,66.8628,1.5941,0.6273132175,-10
6530,76.5697,0.7437,1.34462821,-10
6176,80.9585,0.6659,1.501726986,-10
6039,82.7952,0.6546,1.527650474,-10
5985,83.5422,0.6687,1.495438911,-10
5954,83.9772,0.6707,1.490979574,-10
5935,84.246,0.6887,1.452011035,-10
5932,84.2886,0.6912,1.446759259,-10
5929,84.3313,0.702,1.424501425,-10
5938,84.2034,0.7078,1.412828483,-10
5928,84.3455,0.7115,1.405481377,-10
5939,84.1893,0.7149,1.398797035,-10
5932,84.2886,0.722,1.385041551,-10
5934,84.2602,0.7241,1.38102472,-10
5936,84.2318,0.7356,1.359434475,-10
5938,84.2034,0.7305,1.368925394,-10
5937,84.2176,0.7313,1.367427868,-10
5944,84.1184,0.7437,1.34462821,-10
5946,84.0901,0.7415,1.348617667,-10
5938,84.2034,0.7432,1.345532831,-10
5940,84.1751,0.7479,1.337077149,-10
5947,84.076,0.7441,1.343905389,-10
5943,84.1326,0.7531,1.327844908,-10
5944,84.1184,0.7544,1.325556734,-10
5945,84.1043,0.7604,1.315097317,-10
5952,84.0054,0.7561,1.322576379,-10
5948,84.0619,0.7656,1.306165099,-10
5952,84.0054,0.7652,1.306847883,-10
5957,83.9349,0.7669,1.303950971,-10
5956,83.949,0.7682,1.301744337,-10
5963,83.8504,0.7704,1.298026999,-10
5962,83.8645,0.7682,1.301744337,-10
5954,83.9772,0.7713,1.296512382,-10
5960,83.8926,0.7761,1.288493751,-10
5955,83.9631,0.7748,1.290655653,-10
5958,83.9208,0.7774,1.286339079,-10
5959,83.9067,0.7791,1.283532281,-10
5955,83.9631,0.7804,1.281394157,-10
5963,83.8504,0.7826,1.277791975,-10
5960,83.8926,0.7866,1.271294177,-10
5965,83.8223,0.7879,1.269196599,-10
5963,83.8504,0.7835,1.276324186,-10
5958,83.9208,0.7853,1.273398701,-10
5970,83.7521,0.7897,1.26630366,-10
5964,83.8364,0.7866,1.271294177,-10
5976,83.668,0.7914,1.263583523,-10
5965,83.8223,0.7892,1.26710593,-10
5967,83.7942,0.7963,1.255808113,-10
