Pulse,Freq,Inductance,1/L,Load
4004,124.8751,0.9845,1.015744033,0
3992,125.2505,0.9786,1.021867975,0
3990,125.3133,0.9776,1.022913257,0
3992,125.2505,0.9786,1.021867975,0
3988,125.3761,0.9766,1.02396068,0
3991,125.2819,0.9781,1.022390349,0
3991,125.2819,0.9781,1.022390349,0
3992,125.2505,0.9786,1.021867975,0
3988,125.3761,0.9766,1.02396068,0
3994,125.1878,0.9796,1.020824826,0
3989,125.3447,0.9771,1.0234367,0
3986,125.439,0.9756,1.02501025,0
3986,125.439,0.9756,1.02501025,0
3989,125.3447,0.9771,1.0234367,0
3985,125.4705,0.9752,1.025430681,0
3992,125.2505,0.9786,1.021867975,0
3992,125.2505,0.9786,1.021867975,0
3994,125.1878,0.9796,1.020824826,0
3993,125.2191,0.9791,1.021346134,0
3990,125.3133,0.9776,1.022913257,0
4101,121.9215,1.0328,0.9682416731,83
3998,125.0625,0.9815,1.018848701,83
3987,125.4076,0.9761,1.024485196,83
3989,125.3447,0.9771,1.0234367,83
3985,125.4705,0.9752,1.025430681,83
3984,125.502,0.9747,1.025956705,83
3986,125.439,0.9756,1.02501025,83
3986,125.439,0.9756,1.02501025,83
3987,125.4076,0.9761,1.024485196,83
3978,125.6913,0.9717,1.029124215,83
3981,125.5966,0.9732,1.027538019,83
3985,125.4705,0.9752,1.025430681,83
3987,125.4076,0.9761,1.024485196,83
3981,125.5966,0.9732,1.027538019,83
3983,125.5335,0.9742,1.026483268,83
3979,125.6597,0.9722,1.028594939,83
3986,125.439,0.9756,1.02501025,83
3981,125.5966,0.9732,1.027538019,83
3985,125.4705,0.9752,1.025430681,83
3985,125.4705,0.9752,1.025430681,83
4157,120.279,1.0612,0.9423294384,166
4025,124.2236,0.9948,1.005227181,166
3996,125.1251,0.9805,1.019887812,166
3986,125.439,0.9756,1.02501025,166
3984,125.502,0.9747,1.025956705,166
3985,125.4705,0.9752,1.025430681,166
3987,125.4076,0.9761,1.024485196,166
3983,125.5335,0.9742,1.026483268,166
3981,125.5966,0.9732,1.027538019,166
3982,125.565,0.9737,1.027010373,166
3985,125.4705,0.9752,1.025430681,166
3988,125.3761,0.9766,1.02396068,166
3980,125.6281,0.9727,1.028066207,166
3979,125.6597,0.9722,1.028594939,166
3979,125.6597,0.9722,1.028594939,166
3982,125.565,0.9737,1.027010373,166
3984,125.502,0.9747,1.025956705,166
3982,125.565,0.9737,1.027010373,166
3982,125.565,0.9737,1.027010373,166
3977,125.7229,0.9712,1.029654036,166
4172,119.8466,1.0688,0.9356287425,249
4039,123.793,1.0018,0.9982032342,249
3999,125.0313,0.982,1.018329939,249
3989,125.3447,0.9771,1.0234367,249
3985,125.4705,0.9752,1.025430681,249
3987,125.4076,0.9761,1.024485196,249
3984,125.502,0.9747,1.025956705,249
3979,125.6597,0.9722,1.028594939,249
3981,125.5966,0.9732,1.027538019,249
3978,125.6913,0.9717,1.029124215,249
3981,125.5966,0.9732,1.027538019,249
3979,125.6597,0.9722,1.028594939,249
3982,125.565,0.9737,1.027010373,249
3976,125.7545,0.9708,1.030078286,249
3979,125.6597,0.9722,1.028594939,249
3977,125.7229,0.9712,1.029654036,249
3979,125.6597,0.9722,1.028594939,249
3981,125.5966,0.9732,1.027538019,249
3979,125.6597,0.9722,1.028594939,249
3980,125.6281,0.9727,1.028066207,249
4088,122.3092,1.0262,0.9744689144,0
4004,124.8751,0.9845,1.015744033,0
3979,125.6597,0.9722,1.028594939,0
3973,125.8495,0.9693,1.031672341,0
3972,125.8812,0.9688,1.032204789,0
3967,126.0398,0.9664,1.034768212,0
3966,126.0716,0.9659,1.035303862,0
3963,126.167,0.9644,1.036914144,0
3964,126.1352,0.9649,1.036376827,0
3965,126.1034,0.9654,1.035840066,0
3963,126.167,0.9644,1.036914144,0
3961,126.2307,0.9634,1.03799045,0
3959,126.2945,0.9625,1.038961039,0
3957,126.3584,0.9615,1.040041602,0
3956,126.3903,0.961,1.040582726,0
3961,126.2307,0.9634,1.03799045,0
3962,126.1989,0.9639,1.037452018,0
3960,126.2626,0.963,1.038421599,0
3966,126.0716,0.9659,1.035303862,0
3958,126.3264,0.962,1.03950104,0
